Chapter	Question	A	B	C	D	Answer	Explanation
3	"교역이 증가하면 국내 산업이 망한다"는 주장을 비교우위론으로 평가하면?	맞는 말이다 (교역의 부작용)	틀렸다 (전체 경제는 이득이다)	부분적으로 맞다 (일부 산업은 피해지만 전체는 이득)	비교우위론으로는 판단할 수 없다	C	비교우위가 약한 산업은 쇠퇴할 수 있다 (진정의 손실). 하지만 전체 경제는 총 생산량 증가로 이득을 본다. 이는 분배 문제이지, 교역이 나쁜 것은 아니다.
3	기회비용 계산에서 가장 흔한 실수는?	한 재화의 기회비용을 다른 재화 기준으로 잘못 계산하기	절대우위와 비교우위를 헷갈리기	기회비용의 역수를 구하지 않기	①②③이 모두 가능하다	D	모두 흔한 실수이다. 특히 "A의 기회비용 = A 1개당 포기되는 B"를 제대로 이해하지 못하고 계산하는 경우가 많다.
4	시장(Market)의 정의로 가장 적절한 것은?	물건을 파는 건물	특정 재화를 사고파는 사람들의 모임	정부가 관리하는 경제 시스템	주식과 채권을 거래하는 장소	B	경제학에서 시장은 물리적 장소가 아니라 거래가 일어나는 전체 체계를 의미한다.
4	수요량(Quantity Demanded)의 정의로 올바른 것은?	소비자가 원하는 모든 양	특정 가격에서 구매하고자 하는 능력과 의사가 있는 양	과거에 구매했던 양	미래에 구매할 것으로 예상되는 양	B	수요량은 "의사와 능력"을 모두 만족하는 양이다. 원하기만 하는 것(의사 부족)이나, 돈이 없는데 사고 싶은 것(능력 부족)은 수요량이 아니다.
4	수요의 법칙(Law of Demand)을 설명하는 올바른 것은?	가격이 올라가면 수요량도 올라간다	가격이 올라가면 수요량은 내려간다	가격과 수요량은 무관하다	수요가 늘어나면 가격이 올라간다	B	수요의 법칙은 가격과 수요량의 음의 관계를 나타낸다 (우하향 곡선).
4	공급의 법칙(Law of Supply)을 설명하는 올바른 것은?	가격이 올라가면 공급량은 내려간다	가격이 올라가면 공급량도 올라간다	가격과 공급량은 무관하다	공급이 늘어나면 가격이 내려간다	B	공급의 법칙은 가격과 공급량의 양의 관계를 나타낸다 (우상향 곡선).
4	균형(Equilibrium)의 정의로 가장 정확한 것은?	가격이 가장 낮은 상태	공급량이 가장 많은 상태	수요량 = 공급량인 상태	소비자 만족도가 가장 높은 상태	C	균형은 수량 일치로 정의되며, 이 때 시장 압력이 없어 자동으로 유지된다.
4	정상재(Normal Good)의 특징으로 올바른 것은?	소득이 올라가면 수요가 내려간다	소득이 올라가면 수요가 올라간다	소득과 무관하게 수요가 일정하다	소득이 올라가면 가격이 내려간다	B	정상재는 "정상적인" 재화로, 소득이 증가하면 수요도 증가한다. 대부분의 재화가 정상재이다.
4	열등재(Inferior Good)의 예로 가장 적절한 것은?	명품 시계	외제 자동차	라면과 같은 저가 식품 (고소득층이 되면 먹지 않음)	휘발유	C	열등재는 소득이 높아지면 수요가 감소하는 재화이다. 하지만 "품질이 낮다"는 의미는 아니다 (경제학 용어).
4	대체재(Substitutes)의 예로 가장 적절한 것은?	버터와 마가린	커피와 설탕	신발과 양말	자동차와 휘발유	A	대체재는 한 재화 대신 다른 재화를 사용할 수 있는 것이다. 버터 가격 ↑ → 마가린 수요 ↑.
4	보완재(Complements)의 예로 가장 적절한 것은?	두 종류의 버터	핫도그와 핫도그 빵	콜라와 사이다	셔츠와 바지	B	보완재는 함께 사용되는 재화이다. 핫도그 가격 ↑ → 핫도그 빵 수요 ↓.
4	어떤 재화의 수요곡선이 오른쪽으로 이동했다면?	이 재화의 가격이 올라갔다	이 재화의 가격이 내려갔다	가격과 무관한 다른 요인(소득, 취향 등)이 변했다	공급이 감소했다	C	수요곡선 자체의 이동(= 수요의 변화)은 가격 외의 요인 변화로 인한 것이다. 가격 변화는 곡선 위에서의 이동이다.
4	소비자의 취향이 어떤 재화로 변했을 때?	그 재화의 가격이 올라간다	그 재화의 수요곡선이 오른쪽으로 이동한다	그 재화의 공급곡선이 변한다	그 재화의 공급량이 감소한다	B	취향 변화는 수요 변화이며, 수요곡선의 이동으로 나타난다.
4	어떤 생산요소의 가격이 올라가면?	그 요소로 만드는 재화의 수요곡선이 이동한다	그 요소로 만드는 재화의 공급곡선이 왼쪽으로 이동한다	그 요소로 만드는 재화의 공급곡선이 오른쪽으로 이동한다	시장 균형가격이 내려간다	B	요소가격 ↑ → 생산비용 ↑ → 공급 ↓ (공급곡선 왼쪽 이동).
4	기술이 진보했을 때?	공급곡선이 왼쪽으로 이동한다	공급곡선이 오른쪽으로 이동한다	수요곡선이 이동한다	균형가격은 항상 올라간다	B	기술 진보 → 생산 효율성 ↑ → 공급 ↑ (공급곡선 오른쪽 이동).
4	공급과잉(Surplus) 상태에서 일어나는 결과는?	공급량 < 수요량	공급량 > 수요량, 가격이 하락	공급량 = 수요량	가격이 계속 올라간다	B	공급과잉 → 팔리지 않은 재화 쌓임 → 판매자가 가격을 낮춤 → 균형으로 수렴.
4	물량부족(Shortage) 상태에서 일어나는 결과는?	공급량 > 수요량, 가격이 하락	공급량 < 수요량, 가격이 상승	공급량 = 수요량	공급자는 이득을 본다	B	물량부족 → 못 산 소비자들이 기다림 → 판매자가 가격을 올림 → 균형으로 수렴.
4	미래에 어떤 재화의 가격이 올라날 것이라는 기대가 생기면?	현재의 수요곡선이 왼쪽으로 이동한다	현재의 수요곡선이 오른쪽으로 이동한다	현재의 공급곡선이 오른쪽으로 이동한다	현재 가격은 변하지 않는다	B	가격 상승 기대 → 지금 사놔야겠다는 생각 → 현재 수요 ↑ (수요곡선 오른쪽 이동).
4	수요와 공급 분석 3단계를 올바르게 순서대로 쓴 것은?	곡선 이동 → 이동 방향 → 결과 변화	변수 판단 → 이동 방향 → 결과 변화	결과 변화 → 이동 방향 → 변수 판단	이동 방향 → 변수 판단 → 결과 변화	B	(1) 어떤 변수가 변했는가? (2) 어느 곡선이 어느 방향으로 이동하는가? (3) 균형가격과 거래량이 어떻게 변하는가?
4	수요곡선이 이동한 것과 곡선 위에서 움직인 것의 차이는?	같은 의미이다	수요곡선 이동 = 가격 변화, 곡선 위 이동 = 수요 변화	수요 변화 = 곡선 이동, 수요량 변화 = 곡선 위 이동	구분할 수 없다	C	가격 변화만으로 곡선 위에서 움직이는 것을 "수요량 변화"라 한다. 다른 요인 변화로 곡선 자체가 이동하는 것을 "수요 변화"라 한다.
4	"커피 수요가 증가했다"는 다음 중 어떤 의미인가?	같은 가격에서 수요량이 증가했다 (곡선 이동)	가격이 올라가서 수요량이 감소했다	가격이 올라갔다	같은 수요량으로 더 높은 가격을 지불한다	A	수요 증가 = 수요곡선 오른쪽 이동 = 같은 가격에서 더 많이 사려고 함 (곡선 이동).
4	정상재와 열등재의 구분에서 가장 위험한 오류는?	품질 수준으로 구분하기	소득과의 관계로 구분하기	가격 수준으로 구분하기	①③이 모두 위험한 오류이다	D	정상재/열등재는 소득과의 관계로만 정의한다. 저가 상품이 모두 열등재는 아니고, 고가 상품이 모두 정상재는 아니다.
4	대체재와 보완재를 헷갈릴 때 구분법은?	한 재화 가격 ↑ → 다른 재화 수요 ↑ = 대체재	한 재화 가격 ↑ → 다른 재화 수요 ↓ = 보완재	①②가 모두 맞다	가격으로만 판단할 수 없다	C	기본 원리를 정확히 기억하면, 가격과 수요의 관계로 구분할 수 있다.
4	"공급곡선이 오른쪽으로 이동했다"는 다음 중 어떤 결과를 초래하는가?	균형가격 ↑, 균형거래량 ↑	균형가격 ↓, 균형거래량 ↑	균형가격 ↓, 균형거래량 ↓	균형가격 ↑, 균형거래량 ↓	B	공급 증가 → 더 저렴한 가격에 팔려고 함 → 가격 ↓, 거래량 ↑.
4	수요곡선과 공급곡선이 동시에 변하면?	균형가격은 반드시 올라간다	균형거래량은 반드시 올라간다	한쪽 이동이 다른 쪽을 압도하는 정도에 따라 결과가 달라진다	시장에서 혼란이 생겨 균형을 찾을 수 없다	C	두 곡선이 동시에 이동하면 결과는 각각의 이동 정도에 따라 달라진다 (분석 3단계에서 가장 복잡한 경우).
4	시장 균형점이 "효율적"이라는 것의 의미는?	모든 소비자가 만족한다	모든 생산자가 이윤을 본다	총잉여가 극대화된다 (7장에서 배움)	가격이 공정하다	C	이는 7장의 "후생경제학"에서 다루는 개념이다. 자유시장 균형은 총잉여를 최대화한다.
5	탄력성(Elasticity)의 정의로 가장 적절한 것은?	어떤 재화의 가격	한 변수의 변화에 대해 다른 변수가 반응하는 정도	시장에서의 경쟁 정도	생산 기술의 수준	B	탄력성은 상대적 변화를 비교하는 개념이다.
5	수요의 가격탄력성 계산 시 항상 사용해야 하는 것은?	절대값(Absolute Value)	백분율 계산	중간점 공식	두 가지 이상이 필요하다	A	수요의 가격탄력성은 항상 절대값으로 표현하여 양수로 나타낸다.
5	탄력적(Elastic) 수요곡선의 특징으로 올바른 것은?	E < 1	0 < E < 1	E > 1	E = ∞	C	탄력성 > 1 = 탄력적 (가격 변화에 민감).
5	비탄력적(Inelastic) 수요곡선의 특징으로 올바른 것은?	E > 1	0 < E < 1	E = 1	수평선	B	탄력성 < 1 = 비탄력적 (가격 변화에 둔감).
5	단위탄력(Unitary Elastic) 수요의 특징은?	E = 0	0 < E < 1	E = 1	E > 1	C	E = 1일 때, 가격 변화율 = 수요량 변화율.
5	가격이 올라갔을 때 총수입(TR = P × Q)이 올라가려면?	탄력적 수요	비탄력적 수요	단위탄력 수요	완전탄력 수요	B	비탄력적(E < 1) → 가격 ↑ → 수요량 감소폭 작음 → 총수입 ↑.
5	다음 중 탄력성을 결정하는 요인이 아닌 것은?	대체재의 존재	필수품인지 사치품인지	시간 경로 (단기 vs 장기)	생산자의 이윤	D	생산자의 이윤은 수요의 탄력성을 결정하지 않는다. 탄력성 결정요인은 대체재, 필수성, 시장 범위, 시간이다.
5	탄력성 유형 중 "가격 변화에 거의 반응하지 않는" 경우는?	탄력적 수요	비탄력적 수요	단위탄력	완전탄력	B	비탄력적(E < 1) = 둔감하고 완만한 곡선. 예: 필수품.
5	다음 상황에서 수요의 가격탄력성을 계산하시오:** **가격: 10원 → 12원 (변화율: 20%)** **수요량: 100개 → 80개 (변화율: -20%)** 탄력성 = |−20%| / |20%| = 1 ① 비탄력적 (E < 1) ② 단위탄력 (E = 1) ③ 탄력적 (E > 1) ④ 완전비탄력 (E = 0) 정답: ② 해설: E = 1이므로 단위탄력. 가격과 수요량이 정확히 같은 비율로 변한다. --- **106. 가격이 10원에서 12원으로 올랐을 때, 총수입이 어떻게 변하는가?** **초기: P=10, Q=100, TR=1,000원** **변후: P=12, Q=80, TR=960원	총수입이 증가했다 (1,000 < 960)	총수입이 감소했다 (1,000 > 960)	총수입이 불변이다	계산할 수 없다	B	단위탄력이므로 가격 변화의 효과가 상쇄되어야 하지만, 실제로 960 < 1,000이다. (계산 재확인: 12×80=960, 10×100=1,000, 960 < 1,000이므로 총수입 감소)
5	필수품(예: 밥, 의약품)의 수요탄력성은 일반적으로?	E > 1 (탄력적)	0 < E < 1 (비탄력적)	E = 0 (완전비탄력)	E = ∞ (완전탄력)	B	필수품은 가격이 올라도 줄일 수 없으므로 비탄력적이다.
5	사치품(예: 명품, 고급 레스토랑)의 수요탄력성은 일반적으로?	0 < E < 1 (비탄력적)	E > 1 (탄력적)	E = 1 (단위탄력)	E = 0 (완전비탄력)	B	사치품은 가격이 올라가면 대체재가 많아 수요가 크게 감소한다 (탄력적).
5	직선 수요곡선에서 가격이 높을 때와 낮을 때의 탄력성을 비교하면?	항상 같다	가격이 높을 때 더 탄력적이다	가격이 낮을 때 더 탄력적이다	기울기에만 의존한다	B	직선 수요곡선의 특성: 상단(높은 가격) = 탄력적, 하단(낮은 가격) = 비탄력적.
5	수요의 소득탄력성이 음수(< 0)인 재화는?	정상재	열등재	사치재	대체재	B	소득 ↑ → 수요 ↓ (음의 관계) = 열등재.
5	수요의 교차탄력성이 양수(> 0)인 두 재화의 관계는?	보완재	대체재	독립적 재화	같은 종류의 재화	B	한 재화 가격 ↑ → 다른 재화 수요 ↑ (양의 관계) = 대체재.
5	공급의 가격탄력성이 단기에는 낮고 장기에는 높은 이유는?	기술이 발전하기 때문	생산자가 적응할 시간이 필요하기 때문	정부 규제가 변하기 때문	가격이 낮아지기 때문	B	공급자는 생산 능력을 조정하는 데 시간이 필요하다. 장기에는 더 유연하게 대응 가능 → 탄력성 증가.
5	담배세를 부과했을 때, 담배 수요가 비탄력적이라면?	세수가 적을 것이다	수요량이 크게 감소할 것이다	세수가 많을 것이다	담배 가격이 변하지 않을 것이다	C	비탄력적(E < 1) → 가격 ↑ → 수요량 감소폭 작음 → 세수(T × Q) 많음.
5	"이 수요곡선의 기울기가 가파르므로 비탄력적이다"는 주장은?	항상 맞다	틀렸다 (기울기 ≠ 탄력성)	곡선이 직선일 때만 맞다	가격 수준에 따라 다르다	B	기울기와 탄력성은 다른 개념이다. 같은 기울기의 곡선도 가격 수준에 따라 탄력성이 다르다.
5	수요의 가격탄력성을 계산할 때 절대값을 사용하지 않으면?	음수가 나온다	계산이 복잡해진다	탄력성 간 비교가 혼란스러워진다	①③이 맞다	D	수요의 가격탄력성은 정의상 음의 값이지만, 절대값으로 표현하여 비교를 단순화한다.
5	"필수품이므로 비탄력적이다"라는 주장에서 가능한 오류는?	모든 필수품이 비탄력적인 것은 아니다	비탄력적이면 필수품인 것은 아니다	"필수"의 정의가 개인차가 있다	①②③이 모두 가능하다	D	필수성은 주관적이고, 필수품도 대체재가 많으면 탄력적일 수 있다.
5	직선 수요곡선의 E = 1인 지점은?	곡선의 중간점	곡선의 상단	곡선의 하단	위 답 모두에서 발생 가능	A	직선 수요곡선에서 E = 1 지점은 대략 중간 지점이다 (정확하게는 기울기 의존).
5	"가격이 올랐는데 총수입도 올랐다"는 상황을 분석하면?	수요가 탄력적이다	수요가 비탄력적이다	수요가 단위탄력이다	분석할 수 없다	B	가격 ↑ → 총수입 ↑라는 것은 수요량 감소폭이 작다는 뜻이므로, 비탄력적(E < 1).
5	소득탄력성과 교차탄력성의 부호 규칙을 헷갈릴 때?	소득탄력성 > 0이면 열등재	교차탄력성 < 0이면 대체재	소득탄력성 < 0이면 열등재 (맞음)	①②③이 모두 틀렸다	C	①은 틀림 (소득탄력성 < 0이면 열등재), ②는 틀림 (< 0이면 보완재).
5	"우리 제품의 수요가 완전탄력이다"라고 생각하는 기업의 전략 오류는?	가격을 올리면 수요가 0이 되므로, 가격을 낮춰야 한다	가격과 무관하게 같은 수량을 팔 수 있다고 착각	경쟁이 심한 시장에서 가격 책정 권한이 없다는 뜻	①③이 맞다	D	완전탄력(E = ∞) = 수평선 수요곡선 = 시장 가격 수용자 (가격 정하기 불가) = 경쟁이 매우 심한 시장의 개별 기업.
6	가격상한제(Price Ceiling)가 효과를 가지는 조건은?	가격상한 = 균형가격	가격상한 > 균형가격	가격상한 < 균형가격	가격상한은 균형가격과 무관	C	가격상한이 균형가격보다 낮아야 시장가격이 내려가는 효과가 있다.
6	가격상한제의 결과로 일어나는 현상은?	초과공급 (물량과잉)	초과수요 (물량부족)	새로운 균형 형성	가격이 계속 올라간다	B	가격 ↓ → 공급량 ↓, 수요량 ↑ → 물량부족 발생.
6	가격하한제(Price Floor)가 효과를 가지는 조건은?	가격하한 < 균형가격	가격하한 = 균형가격	가격하한 > 균형가격	가격하한은 균형가격과 무관	C	가격하한이 균형가격보다 높아야 시장가격이 올라가는 효과가 있다.
6	가격하한제의 결과로 일어나는 현상은?	초과수요 (물량부족)	초과공급 (물량과잉)	새로운 균형 형성	가격이 계속 내려간다	B	가격 ↑ → 수요량 ↓, 공급량 ↑ → 물량과잉 발생.
6	임대료 규제는 가격상한제의 예인데, 단기와 장기의 효과가 다른 이유는?	정부 정책이 바뀌기 때문	공급의 탄력성이 단기와 장기에 다르기 때문	소비자의 선호가 변하기 때문	물가가 계속 올라가기 때문	B	단기 = 주택 공급 비탄력적 → 작은 물량부족, 장기 = 주택 공급 탄력적 → 큰 물량부족 + 슬럼화.
6	최저임금제는 가격하한제의 예인데, 부작용으로 예상되는 것은?	임금 인상으로 근로자 모두 만족	실업 증가 (일자리 감소)	자동으로 임금이 올라감	기업의 이윤이 증가	B	최저임금 > 균형임금 → 초과공급 (일하려는 사람 > 일자리) → 실업 증가.
6	조세(Tax) 부과의 직접적 결과는?	수요곡선이 이동한다	공급곡선이 이동한다	둘 다 이동한다	곡선은 변하지 않지만 거래량이 감소한다	B	판매자 과세 → 공급곡선 위로 이동, 구입자 과세 → 수요곡선 아래로 이동.
6	판매자 과세와 구입자 과세의 최종 효과는?	판매자 과세가 더 크다	구입자 과세가 더 크다	같다 (누가 내느냐는 중요하지 않다)	비교할 수 없다	C	**조세의 귀착**: 누가 법적으로 납세 의무를 지는지는 중요하지 않으며, 최종 효과는 동일하다.
6	조세 부과 후 세금의 실질적 부담이 누가 더 크게 지게 되는가?	수요 측 (구입자)	공급 측 (판매자)	더 비탄력적인 쪽	정부가 정한 쪽	C	비탄력적인 쪽이 회피 수단이 없으므로 더 큰 부담을 진다. (예: 담배 수요 비탄력 → 구입자가 더 부담)
6	어떤 재화의 수요가 탄력적이고 공급이 비탄력적일 때, 세금을 부과하면?	세수가 많고 경제적 순손실이 작다	세수가 적고 경제적 순손실이 작다	세수가 많고 경제적 순손실이 크다	세수가 적고 경제적 순손실이 크다	D	수요가 탄력적 → 세금으로 거래량이 크게 감소 → 세수 적음 + 손실 큼.
6	임대료 규제가 오래 지속되면 일어나는 현상은?	주택 공급이 증가한다	주택이 낡아지고 질이 나빠진다 (슬럼화)	임대료가 자동으로 올라간다	세입자 모두가 만족한다	B	장기에는 집주인이 주택 유지와 신축에 투자하지 않아 주택 질 악화.
6	가격상한제가 없을 때와 있을 때를 비교하면?	소비자 항상 더 나아진다	생산자 항상 더 나아진다	총잉여가 감소한다 (경제적 순손실 발생)	모든 사람이 만족한다	C	가격상한제 → 거래량 감소 → 거래이득 상실 → 총잉여 ↓ → 경제적 순손실.
6	다음 중 판매자 과세의 영향을 올바르게 설명한 것은?	공급곡선이 위로 이동한다	거래량이 감소한다	소비자와 생산자 모두 부담을 진다	①②③이 모두 맞다	D	판매자 과세 → 공급곡선 이동 → 거래량 ↓ → 양쪽 모두 부담 (조세 귀착).
6	최저임금이 시장 균형임금보다 높으면?	근로자의 임금이 올라간다	일자리가 증가한다	실업이 발생한다	①③이 동시에 발생한다	D	일부 근로자(일자리 얻은 사람)의 임금은 올라가지만, 실업자도 증가한다 (일자리를 못 얻은 사람).
6	가격 통제 정책(상한제, 하한제)의 공통점은?	모두 효율적인 결과를 만든다	모두 초과수요 또는 초과공급을 초래한다	모두 세금을 거두지 않는다	②③이 맞다	D	가격 통제는 시장 메커니즘을 방해하여 불균형 초래하고, 세금 없이 경제적 순손실을 낳는다.
6	조세정책이 총잉여에 미치는 영향은?	항상 증가한다	항상 감소한다	경제적 순손실이 발생한다	소비자와 생산자 모두 이득을 본다	C	세금 부과 → 거래량 ↓ → 거래이득 상실 → 총잉여 감소 (경제적 순손실).
6	어떤 조세 정책이 "좋은 세금"이라고 불리는 이유는?	세수가 많기 때문	세수는 많으면서 경제적 순손실은 작기 때문	부자만 부담하기 때문	정부가 정했기 때문	B	좋은 세금 = 비탄력적 시장에 부과하는 세금 (예: 담배세). 세수 많고 거래량 감소 적음.
6	"가격상한제는 소비자를 보호한다"는 주장이 항상 맞는가?	맞다 (가격이 내려가므로)	틀렸다 (물량부족으로 살 수 없는 경우 발생)	부분적으로 맞다 (일부 소비자만 보호)	경제학적으로 판단 불가능하다	B	가격은 낮지만 물량부족으로 인해 사고 싶은 사람이 모두 구매할 수 없다 → 오히려 소비자 피해.
6	조세의 귀착(Tax Incidence)과 납세의무(Tax Obligation)의 관계는?	같은 개념이다	항상 일치한다	다를 수 있다 (법과 현실이 다를 수 있다)	경제학적으로 무관하다	C	누가 법적으로 세금을 내느냐(의무) vs 누가 실질적 부담을 지느냐(귀착)는 다를 수 있다.
6	가격상한제와 가격하한제의 공통점은?	모두 시장 균형을 유지한다	모두 초과수요를 만든다	모두 비효율성을 초래한다	모두 소비자에게만 영향을 미친다	C	가격상한제(초과수요) + 가격하한제(초과공급) = 둘 다 시장 왜곡 → 비효율성.
6	임대료 규제의 "슬럼화" 현상이 세입자(소비자)에게 피해를 주는 이유는?	임대료가 너무 높다	장기에 주택 공급 감소 + 주택 질 저하 → 구할 집이 없음	집주인이 고의로 망친다	정부가 규제를 강화했기 때문	B	가격상한제의 장기 효과: 공급자 투자 부족 → 공급 감소 → 오히려 소비자가 더 피해.
6	"우리 상품이 비탄력적이므로 세금을 부과해도 괜찮다"는 판단의 오류는?	비탄력적 → 거래량 감소 적음 → 세수는 많지만	세금 부과 자체가 경제적 순손실을 초래한다	비탄력성은 세금 부과의 정당한 근거가 아니다	①②③이 모두 맞다	D	비탄력성은 "세금을 많이 거둬도 거래량이 적게 줄어든다"는 뜻일 뿐, 경제적 순손실을 피할 수 없다.
6	조세의 경제적 순손실이 커지는 조건은?	세금이 작을 때	세금이 클 때	시장이 탄력적일 때	②③이 모두 맞다	D	경제적 순손실 ∝ (세금)² + 탄력성. 세금이 크고 탄력성이 클수록 손실이 크다.
6	"최저임금을 올리면 저숙련 근로자가 가장 많이 영향을 받는다"는 주장은?	틀렸다 (임금이 올라가므로 이득)	맞다 (일자리를 잃을 확률이 높다)	경제학적으로 판단 불가능하다	저숙련 근로자만 피해를 본다	B	저숙련 근로자가 최저임금에 주로 종사하므로, 최저임금 인상으로 인한 실업의 주요 피해자가 된다.
7	후생경제학(Welfare Economics)의 정의로 올바른 것은?	복지 정책만을 연구하는 학문	자원배분과 경제적 후생의 관계를 분석하는 학문	빈곤층을 돕는 방법을 연구하는 학문	정부의 역할을 결정하는 학문	B	후생경제학은 자원이 어떻게 배분되는지가 사회 전체의 경제적 이익(총잉여)에 어떤 영향을 미치는지를 분석한다.
7	지불용의(Willingness to Pay)의 정의로 가장 적절한 것은?	실제로 구매자가 지불하는 금액	소비자가 어떤 재화를 구매하기 위해 기꺼이 지불하려는 최고 금액	판매자가 요구하는 최저 가격	시장 균형에서의 가격	B	지불용의는 소비자의 주관적 가치 평가를 나타낸다. 실제 가격보다 낮을 수도, 높을 수도 있다.
7	소비자잉여(Consumer Surplus)의 정의로 올바른 것은?	구매자가 지불한 총액	지불용의 - 실제 지불 가격	구매자의 총 만족도	판매자와 구매자의 차이	B	소비자잉여는 지불할 의사가 있던 금액과 실제로 지불한 금액의 차이다.
7	생산자잉여(Producer Surplus)의 정의로 올바른 것은?	판매자의 회계 이윤	실제 판매가격 - 생산비용	판매자의 매출액	생산에 드는 시간과 노력	B	생산자잉여 = 판매가격 - 생산 비용 = 경제적 이윤.
7	경제적 이윤(Economic Profit)과 회계이윤(Accounting Profit)의 차이는?	같은 개념이다	경제적 이윤에는 기회비용이 포함된다	회계이윤에는 명시적 비용만 포함된다	②③이 모두 맞다	D	경제적 이윤 = 매출 - (명시적 비용 + 기회비용), 회계이윤 = 매출 - 명시적 비용.
7	총잉여(Total Surplus)의 정의로 올바른 것은?	소비자잉여 + 생산자잉여	정부의 세금 수입	사회 전체의 총 생산량	시장의 총 거래액	A	총잉여는 사회 전체의 경제적 후생을 나타낸다.
7	효율성(Efficiency)의 의미로 올바른 것은?	가장 많이 생산하는 것	가장 저렴한 가격	총잉여를 극대화하는 자원배분	모든 사람이 만족하는 상태	C	효율성은 사회 전체 이익(총잉여)을 최대화하는 것이다. 이것이 반드시 모두를 만족시키는 것은 아니다.
7	형평성(Equity)의 의미로 가장 적절한 것은?	모든 사람이 같은 양을 가지는 것	자원 분배의 공정성 정도	경제적 효율성	정부가 관여하는 정도	B	형평성은 얼마나 공정하게 나누느냐의 문제이며, 효율성과는 독립적이다.
7	다음 상황을 분석하시오: 어떤 소비자의 지불용의가 10,000원이고, 시장가격이 8,000원이면?	소비자잉여는 2,000원	소비자는 구매하지 않는다	소비자잉여는 8,000원	소비자잉여는 -2,000원	A	소비자잉여 = 지불용의 - 실제 가격 = 10,000 - 8,000 = 2,000원.
7	생산 비용이 5,000원인 판매자가 시장가격 8,000원에 판매하면?	생산자잉여는 3,000원	생산자잉여는 8,000원	생산자잉여는 5,000원	생산자잉여는 음수	A	생산자잉여 = 판매가격 - 생산비용 = 8,000 - 5,000 = 3,000원.
7	자유시장 경쟁 균형에서 달성되는 상태는?	모든 소비자가 만족한다	모든 생산자가 이윤을 낸다	총잉여가 극대화된다 (효율적)	모든 사람의 소득이 같아진다	C	자유시장 균형은 효율적이다. 하지만 형평성은 보장하지 않는다.
7	어떤 재화가 과소 생산되면 (시장 균형 이하)?	소비자 모두가 손해본다	생산을 더하면 추가되는 잉여(사회적 편익)가 비용을 초과한다	총잉여가 감소한다	②③이 모두 맞다	D	과소 생산 → 거래이득이 실현되지 않음 → 총잉여 ↓ (비효율적).
7	시장실패(Market Failure)의 원인으로 올바른 것은?	가격이 높다	시장지배력 또는 외부효과	거래량이 많다	정부가 개입하지 않는다	B	시장실패 = 시장이 효율적 자원배분을 실현하지 못하는 경우 → 원인: 시장지배력, 외부효과.
7	긍정적 외부효과(Positive Externality)의 예로 가장 적절한 것은?	한 기업의 공해 배출	한 사람의 예방접종 → 사회 전체 감염 병 감소	다른 기업의 제품 모방	높은 가격으로 인한 소비 감소	B	긍정적 외부효과는 한 사람의 행동이 제3자에게 이롭게 미치는 영향이다.
7	부정적 외부효과(Negative Externality)의 예로 가장 적절한 것은?	기업의 기술 개발 → 산업 발전	한 공장의 공해 배출 → 주변 지역 주민 피해	가격 인상 → 소비자의 소비 감소	경쟁 기업의 고객 탈취	B	부정적 외부효과는 한 사람의 행동이 제3자에게 해를 미치는 영향이다.
7	외부효과가 있을 때 시장 균형이 비효율적인 이유는?	가격이 완벽하게 반영되지 않음	외부효과로 인한 사회 비용이 시장가격에 포함되지 않음	추가 거래이득이 실현되지 않음	②③이 모두 맞다	D	외부효과 → 가격이 사회 비용을 완벽히 반영하지 못함 → 자원배분 왜곡 → 비효율적.
7	총잉여의 관점에서 가장 효율적인 결과를 초래하는 시장구조는?	독점시장	완전경쟁시장	과점시장	독점적 경쟁시장	B	완전경쟁시장에서만 자유 경쟁이 총잉여를 극대화한다.
7	"소비자가 제품을 구매했으므로 만족했다"는 주장은?	항상 맞다 (자발적 거래)	틀렸다 (구매 후 후회할 수 있다)	부분적으로 맞다 (거래 시점의 판단일 뿐)	경제학적으로 판단 불가능하다	C	소비자잉여는 거래 시점의 지불용의와 가격 비교일 뿐, 이후 만족도와는 다를 수 있다.
7	"효율성이 높으면 형평성도 높다"는 주장은?	항상 맞다	틀렸다 (둘은 독립적이다)	부분적으로 맞다	경제학적으로는 판단할 수 없다	B	효율적이어도 극도로 불공정할 수 있고, 공정해도 비효율적일 수 있다.
7	"자유시장 균형은 최선이다"는 주장의 문제점은?	시장실패가 발생하지 않을 수도 있다	시장실패가 발생할 수 있으므로 항상 최선은 아니다	"최선"의 정의가 모호하다 (효율성 vs 형평성)	②③이 모두 맞다	D	완전경쟁이라도 외부효과, 시장지배력 등이 있으면 비효율적이고, "최선"은 가치 판단을 포함한다.
7	"생산자잉여가 크면 기업이 건강하다"는 주장은?	항상 맞다	틀렸다 (단기 수익과 장기 효율성은 다를 수 있다)	기업의 기준에 따라 다르다	생산자잉여 = 회계이윤이므로 맞다	B	생산자잉여(경제적 이윤)는 자원배분의 효율성 지표일 뿐, 기업의 건강도를 완벽히 나타내지 않는다.
7	"시장지배력이 있는 기업은 경제적 이윤을 낸다"는 주장은?	항상 맞다	항상 틀렸다	일반적으로 맞지만 항상은 아니다	기업의 기술 수준에 따라 다르다	C	시장지배력이 있어도 경쟁, 규제, 기술 변화 등으로 인해 이윤을 낼 수 없을 수 있다.
